Date,Anomaly
185001,-1.24
185002,-0.52
185003,-0.44
185004,-0.94
185005,-0.78
185006,-0.29
185007,-0.02
185008,0.16
185009,-0.19
185010,-0.98
185011,-0.6
185012,-0.1
185101,-0.52
185102,-0.14
185103,-0.64
185104,-0.71
185105,-0.54
185106,-0.28
185107,0.11
185108,0.11
185109,-0.12
185110,0.09
185111,-0.59
185112,-0.3
185201,0.04
185202,-0.51
185203,-0.99
185204,-0.7
185205,-0.33
185206,0.15
185207,0.02
185208,0.14
185209,0.04
185210,-0.22
185211,-0.35
185212,-0.22
185301,-0.59
185302,-0.8
185303,-0.81
185304,-0.82
185305,-0.25
185306,-0.14
185307,0.2
185308,-0.05
185309,-0.19
185310,-0.34
185311,-0.44
185312,-0.13
185401,-0.67
185402,-0.45
185403,-0.13
185404,-0.35
185405,-0.33
185406,-0.09
185407,0.06
185408,-0.06
185409,-0.2
185410,0.04
185411,0.05
185412,0.06
185501,-0.18
185502,-0.25
185503,-0.16
185504,-0.21
185505,-0.2
185506,-0.09
185507,-0.28
185508,-0.27
185509,-0.34
185510,-0.24
185511,-0.51
185512,-0.58
185601,0.41
185602,-0.04
185603,-0.28
185604,-0.55
185605,-0.55
185606,-0.1
185607,-0.21
185608,-0.62
185609,-0.39
185610,-0.84
185611,-0.16
185612,0.2
185701,-0.01
185702,-0.6
185703,0.02
185704,-0.41
185705,-0.63
185706,-0.28
185707,-0.26
185708,-0.28
185709,-0.5
185710,-0.53
185711,-0.33
185712,0.3
185801,-0.15
185802,-0.35
185803,-0.17
185804,-0.27
185805,-0.74
185806,-0.25
185807,-0.24
185808,-0.28
185809,-0.54
185810,-0.26
185811,-0.52
185812,-0.56
185901,-0.4
185902,-0.2
185903,-0.04
185904,-0.06
185905,0.02
185906,-0.07
185907,-0.47
185908,-0.09
185909,-0.52
185910,-0.46
185911,-0.3
185912,0.14
186001,-0.6
186002,-0.74
186003,-0.8
186004,-0.5
186005,-0.67
186006,-0.31
186007,-0.42
186008,-0.28
186009,-0.52
186010,-0.68
186011,-0.59
186012,-1.11
186101,-1.24
186102,-0.97
186103,-0.26
186104,-0.68
186105,-0.8
186106,-0.42
186107,-0.34
186108,-0.41
186109,-0.53
186110,-0.82
186111,-0.29
186112,-0.56
186201,-0.97
186202,-1.03
186203,-0.81
186204,-0.87
186205,-0.79
186206,-0.4
186207,-0.51
186208,-0.51
186209,-0.66
186210,-0.97
186211,-0.62
186212,-1.23
186301,-0.18
186302,-0.64
186303,-0.28
186304,-0.25
186305,-0.58
186306,-0.33
186307,-0.54
186308,-0.58
186309,-0.82
186310,-0.81
186311,-0.41
186312,-0.73
186401,-0.84
186402,-0.47
186403,-0.4
186404,-0.52
186405,-0.3
186406,-0.18
186407,-0.32
186408,-0.62
186409,-0.7
186410,-0.85
186411,-0.77
186412,-1.19
186501,0.31
186502,-0.76
186503,-0.82
186504,-0.88
186505,-0.71
186506,-0.21
186507,-0.23
186508,-0.18
186509,-0.19
186510,-0.41
186511,-0.27
186512,-0.34
186601,-0.23
186602,-0.31
186603,-0.74
186604,-0.62
186605,-0.53
186606,-0.58
186607,-0.27
186608,-0.61
186609,-0.26
186610,-0.73
186611,-0.62
186612,-0.05
186701,-0.48
186702,-1.03
186703,-0.88
186704,-1.19
186705,-1.11
186706,-0.37
186707,-0.44
186708,-0.28
186709,-0.38
186710,-0.47
186711,-0.1
186712,-0.12
186801,-0.65
186802,-0.6
186803,-0.33
186804,-0.67
186805,-0.56
186806,-0.35
186807,-0.33
186808,-0.11
186809,-0.25
186810,-0.3
186811,-1.13
186812,-0.33
186901,-0.06
186902,0.32
186903,-0.2
186904,-0.53
186905,-0.26
186906,-0.3
186907,-0.27
186908,-0.24
186909,-0.32
186910,-0.59
186911,-0.13
186912,-0.41
187001,-0.83
187002,-1.07
187003,-0.59
187004,-0.73
187005,-0.41
187006,0.02
187007,-0.1
187008,-0.16
187009,-0.29
187010,-0.68
187011,-0.71
187012,-0.99
187101,-0.97
187102,-0.97
187103,-0.2
187104,-0.26
187105,-0.64
187106,-0.18
187107,-0.26
187108,-0.23
187109,-0.55
187110,-0.77
187111,-0.98
187112,-0.6
187201,-0.88
187202,-0.81
187203,-0.4
187204,-0.87
187205,-0.5
187206,-0.43
187207,-0.38
187208,-0.15
187209,-0.34
187210,-0.58
187211,-0.83
187212,-0.84
187301,-0.67
187302,-0.5
187303,-0.84
187304,-0.93
187305,-0.48
187306,-0.21
187307,-0.29
187308,-0.2
187309,-0.39
187310,-0.33
187311,-0.58
187312,-0.58
187401,-0.57
187402,-0.56
187403,-0.8
187404,-0.49
187405,-0.47
187406,-0.16
187407,-0.63
187408,-0.57
187409,-0.26
187410,-0.42
187411,-0.64
187412,-0.09
187501,-0.41
187502,-0.62
187503,-0.56
187504,-0.55
187505,-0.62
187506,-0.21
187507,-0.24
187508,-0.53
187509,-0.75
187510,-0.87
187511,-1.42
187512,-1.44
187601,-0.57
187602,-1.04
187603,-0.39
187604,-0.52
187605,-0.94
187606,-0.18
187607,-0.41
187608,-0.54
187609,-0.5
187610,-0.41
187611,-0.94
187612,-0.99
187701,-0.46
187702,-0.46
187703,0.08
187704,-0.35
187705,-0.28
187706,-0.11
187707,0.25
187708,-0.13
187709,-0.15
187710,-0.08
187711,0.07
187712,-0.43
187801,-0.4
187802,-0.1
187803,0.72
187804,0
187805,-0.37
187806,0.28
187807,0.32
187808,-0.09
187809,0.03
187810,-0.38
187811,-0.41
187812,-0.23
187901,-0.29
187902,-0.76
187903,-0.27
187904,-0.57
187905,-0.41
187906,-0.29
187907,-0.1
187908,-0.47
187909,-0.52
187910,-0.64
187911,-0.94
187912,-1.01
188001,-0.93
188002,-1.33
188003,-0.67
188004,-0.51
188005,-0.37
188006,-0.12
188007,-0.41
188008,-0.01
188009,-0.42
188010,-0.55
188011,-0.5
188012,-0.39
188101,-0.36
188102,-0.51
188103,-0.42
188104,-0.17
188105,-0.06
188106,-0.68
188107,-0.19
188108,-0.35
188109,-0.55
188110,-0.71
188111,-0.78
188112,-0.09
188201,-0.01
188202,-0.56
188203,-0.36
188204,-0.74
188205,-0.35
188206,-0.68
188207,-0.62
188208,-0.31
188209,-0.42
