fecha,anio,mes,dia_semana,doy,feriado,poblacion_anual,temp_med,pm25,mort_total,mort_cardio,mort_resp,hosp_total,hosp_cardio,hosp_resp
2019-01-01,2019,1,mar,1,1,10209000,20.1,21.12,137,38,19,382,74,90
2019-01-02,2019,1,mie,2,0,10209000,21.38,6.38,144,39,21,417,90,96
2019-01-03,2019,1,jue,3,0,10209000,18.85,10.81,124,36,24,380,88,103
2019-01-04,2019,1,vie,4,0,10209000,22.83,14.88,125,37,17,465,81,121
2019-01-05,2019,1,sab,5,0,10209000,21.96,7.45,120,37,20,435,94,106
2019-01-06,2019,1,dom,6,0,10209000,20.87,13.48,125,44,21,480,94,97
2019-01-07,2019,1,lun,7,0,10209000,20.88,14.79,150,36,21,484,82,92
2019-01-08,2019,1,mar,8,0,10209000,21.65,13.48,135,41,22,405,79,83
2019-01-09,2019,1,mie,9,0,10209000,21.0,26.76,129,42,18,446,96,107
2019-01-10,2019,1,jue,10,0,10209000,21.08,9.72,137,28,21,391,69,131
2019-01-11,2019,1,vie,11,0,10209000,22.24,13.35,121,28,24,468,95,75
2019-01-12,2019,1,sab,12,0,10209000,22.02,14.09,131,45,15,399,97,109
2019-01-13,2019,1,dom,13,0,10209000,21.36,7.86,126,27,16,420,83,112
2019-01-14,2019,1,lun,14,0,10209000,21.36,15.29,132,47,29,443,81,116
2019-01-15,2019,1,mar,15,0,10209000,21.68,18.88,135,41,22,400,93,105
2019-01-16,2019,1,mie,16,0,10209000,20.77,15.68,123,43,22,411,87,98
2019-01-17,2019,1,jue,17,0,10209000,21.05,18.31,117,55,22,381,82,93
2019-01-18,2019,1,vie,18,0,10209000,22.22,12.72,140,37,21,433,76,107
2019-01-19,2019,1,sab,19,0,10209000,21.43,10.29,133,41,19,397,78,115
2019-01-20,2019,1,dom,20,0,10209000,19.95,21.22,120,50,16,417,79,99
2019-01-21,2019,1,lun,21,0,10209000,21.05,16.99,139,35,23,476,89,93
2019-01-22,2019,1,mar,22,0,10209000,22.43,19.47,117,33,17,437,83,95
2019-01-23,2019,1,mie,23,0,10209000,21.39,11.39,129,33,18,464,74,103
2019-01-24,2019,1,jue,24,0,10209000,21.51,13.58,146,40,15,432,93,109
2019-01-25,2019,1,vie,25,0,10209000,22.47,20.52,147,32,31,455,81,88
2019-01-26,2019,1,sab,26,0,10209000,23.91,12.18,160,49,21,470,86,103
2019-01-27,2019,1,dom,27,0,10209000,20.88,5.54,149,32,23,490,77,86
2019-01-28,2019,1,lun,28,0,10209000,23.37,10.28,141,51,22,483,115,103
2019-01-29,2019,1,mar,29,0,10209000,20.29,14.48,127,29,23,447,93,103
2019-01-30,2019,1,mie,30,0,10209000,21.99,22.7,129,43,18,390,80,108
2019-01-31,2019,1,jue,31,0,10209000,20.39,17.57,106,53,19,463,81,98
2019-02-01,2019,2,vie,32,0,10209000,23.43,11.13,139,44,27,447,82,91
2019-02-02,2019,2,sab,33,0,10209000,22.82,11.9,144,57,24,516,81,101
2019-02-03,2019,2,dom,34,0,10209000,23.19,12.36,140,48,19,414,99,114
2019-02-04,2019,2,lun,35,0,10209000,20.77,6.73,143,42,25,477,104,100
2019-02-05,2019,2,mar,36,0,10209000,22.67,14.99,113,42,21,414,80,113
2019-02-06,2019,2,mie,37,0,10209000,21.23,13.46,121,37,20,426,113,99
2019-02-07,2019,2,jue,38,0,10209000,21.31,14.52,131,38,17,466,96,99
2019-02-08,2019,2,vie,39,0,10209000,22.47,10.86,119,44,27,420,70,92
2019-02-09,2019,2,sab,40,0,10209000,22.92,14.27,127,50,13,459,88,99
2019-02-10,2019,2,dom,41,0,10209000,22.12,10.4,127,38,23,486,99,119
2019-02-11,2019,2,lun,42,0,10209000,21.12,11.67,154,39,25,462,81,107
2019-02-12,2019,2,mar,43,0,10209000,20.89,24.88,126,40,23,425,67,92
2019-02-13,2019,2,mie,44,0,10209000,23.61,13.81,162,47,30,453,90,121
2019-02-14,2019,2,jue,45,0,10209000,22.59,8.94,135,36,19,431,75,113
2019-02-15,2019,2,vie,46,0,10209000,22.74,21.95,139,52,22,438,85,115
2019-02-16,2019,2,sab,47,0,10209000,24.5,19.99,160,39,25,493,89,102
2019-02-17,2019,2,dom,48,0,10209000,20.9,8.18,137,30,16,489,94,110
2019-02-18,2019,2,lun,49,0,10209000,24.95,13.93,136,30,20,486,112,124
2019-02-19,2019,2,mar,50,0,10209000,25.65,15.29,149,50,20,520,101,115
2019-02-20,2019,2,mie,51,0,10209000,23.81,14.26,141,50,21,486,113,134
2019-02-21,2019,2,jue,52,0,10209000,22.85,9.44,144,35,21,468,92,117
2019-02-22,2019,2,vie,53,0,10209000,21.06,11.05,137,31,28,444,81,102
2019-02-23,2019,2,sab,54,0,10209000,23.04,24.25,143,47,35,457,99,133
2019-02-24,2019,2,dom,55,0,10209000,21.31,10.6,139,36,23,469,88,107
2019-02-25,2019,2,lun,56,0,10209000,21.8,14.09,134,52,27,479,80,112
2019-02-26,2019,2,mar,57,0,10209000,21.47,20.72,136,42,18,420,84,102
2019-02-27,2019,2,mie,58,0,10209000,22.15,14.56,125,44,18,455,95,112
2019-02-28,2019,2,jue,59,0,10209000,23.34,13.71,154,43,19,516,92,109
2019-03-01,2019,3,vie,60,0,10209000,21.12,11.94,147,47,25,433,84,92
2019-03-02,2019,3,sab,61,0,10209000,20.59,16.95,135,45,17,377,98,98
2019-03-03,2019,3,dom,62,0,10209000,20.55,15.42,120,39,25,457,84,108
2019-03-04,2019,3,lun,63,0,10209000,20.58,23.12,148,46,25,413,109,116
2019-03-05,2019,3,mar,64,0,10209000,20.01,15.51,121,50,23,453,94,89
2019-03-06,2019,3,mie,65,0,10209000,20.61,24.28,140,42,28,429,89,114
2019-03-07,2019,3,jue,66,0,10209000,23.24,18.65,134,41,20,467,96,108
2019-03-08,2019,3,vie,67,0,10209000,20.96,15.37,166,58,15,460,106,115
2019-03-09,2019,3,sab,68,0,10209000,21.96,17.44,131,38,18,441,91,101
2019-03-10,2019,3,dom,69,0,10209000,20.17,17.02,157,37,16,434,93,91
2019-03-11,2019,3,lun,70,0,10209000,21.81,19.8,148,33,28,517,83,121
2019-03-12,2019,3,mar,71,0,10209000,19.5,14.79,131,40,21,475,85,107
2019-03-13,2019,3,mie,72,0,10209000,20.73,18.2,149,39,21,460,83,93
2019-03-14,2019,3,jue,73,0,10209000,24.25,17.86,137,44,22,469,108,111
2019-03-15,2019,3,vie,74,0,10209000,20.82,22.64,145,49,15,480,109,112
2019-03-16,2019,3,sab,75,0,10209000,22.84,22.55,153,37,26,448,92,113
2019-03-17,2019,3,dom,76,0,10209000,22.01,20.43,146,36,18,493,100,113
2019-03-18,2019,3,lun,77,0,10209000,21.26,23.16,135,38,39,439,96,116
2019-03-19,2019,3,mar,78,0,10209000,20.63,25.09,137,31,19,453,94,125
2019-03-20,2019,3,mie,79,0,10209000,22.93,25.89,149,41,27,487,86,95
2019-03-21,2019,3,jue,80,0,10209000,21.14,17.93,137,37,21,460,105,118
2019-03-22,2019,3,vie,81,0,10209000,23.16,14.2,134,46,15,480,84,115
2019-03-23,2019,3,sab,82,0,10209000,20.44,17.99,140,40,18,477,84,107
2019-03-24,2019,3,dom,83,0,10209000,21.34,24.89,137,50,24,470,98,119
2019-03-25,2019,3,lun,84,0,10209000,21.79,14.23,152,48,24,445,110,105
2019-03-26,2019,3,mar,85,0,10209000,21.65,15.87,138,57,11,462,109,116
2019-03-27,2019,3,mie,86,0,10209000,19.69,21.13,151,42,24,444,92,102
2019-03-28,2019,3,jue,87,0,10209000,20.34,18.21,139,27,19,476,100,121
2019-03-29,2019,3,vie,88,0,10209000,20.87,26.11,157,47,14,455,95,116
2019-03-30,2019,3,sab,89,0,10209000,20.04,18.7,138,37,17,510,98,112
2019-03-31,2019,3,dom,90,0,10209000,21.84,22.68,151,48,19,412,105,112
2019-04-01,2019,4,lun,91,0,10209000,21.7,23.13,139,46,20,516,101,104
2019-04-02,2019,4,mar,92,0,10209000,18.61,23.83,126,37,18,498,94,114
2019-04-03,2019,4,mie,93,0,10209000,18.75,16.08,149,29,16,422,86,119
2019-04-04,2019,4,jue,94,0,10209000,19.34,18.91,148,39,22,494,93,115
2019-04-05,2019,4,vie,95,0,10209000,20.98,12.48,174,47,19,481,84,114
2019-04-06,2019,4,sab,96,0,10209000,23.24,15.62,144,41,24,456,108,111
2019-04-07,2019,4,dom,97,0,10209000,20.31,16.9,126,38,23,448,97,127
2019-04-08,2019,4,lun,98,0,10209000,21.02,24.52,146,44,25,493,90,124
2019-04-09,2019,4,mar,99,0,10209000,19.41,17.23,153,48,21,478,90,114
2019-04-10,2019,4,mie,100,0,10209000,19.39,32.03,150,47,23,496,84,124
2019-04-11,2019,4,jue,101,0,10209000,18.25,29.42,138,46,12,547,84,112
2019-04-12,2019,4,vie,102,0,10209000,20.52,18.41,163,52,24,516,100,112
2019-04-13,2019,4,sab,103,0,10209000,21.65,11.47,145,47,21,503,77,105
2019-04-14,2019,4,dom,104,0,10209000,20.04,12.84,130,40,30,469,108,123
2019-04-15,2019,4,lun,105,0,10209000,22.1,25.55,159,41,37,484,102,104
2019-04-16,2019,4,mar,106,0,10209000,20.62,18.01,155,46,23,513,83,115
2019-04-17,2019,4,mie,107,0,10209000,20.29,22.91,152,38,23,483,88,136
2019-04-18,2019,4,jue,108,0,10209000,20.91,27.34,143,51,33,537,86,103
2019-04-19,2019,4,vie,109,0,10209000,20.83,26.66,152,37,21,462,108,110
2019-04-20,2019,4,sab,110,0,10209000,21.58,25.56,138,38,23,471,107,115
2019-04-21,2019,4,dom,111,0,10209000,19.19,15.62,156,40,18,497,95,127
2019-04-22,2019,4,lun,112,0,10209000,17.36,28.52,136,41,24,512,94,121
2019-04-23,2019,4,mar,113,0,10209000,20.2,28.86,157,56,20,463,98,104
2019-04-24,2019,4,mie,114,0,10209000,19.28,30.33,159,56,23,451,106,96
2019-04-25,2019,4,jue,115,0,10209000,19.93,29.88,156,43,15,550,108,128
2019-04-26,2019,4,vie,116,0,10209000,21.91,19.56,132,38,29,480,89,109
2019-04-27,2019,4,sab,117,0,10209000,18.54,10.9,131,47,13,545,93,108
2019-04-28,2019,4,dom,118,0,10209000,20.74,25.1,149,53,30,584,96,140
2019-04-29,2019,4,lun,119,0,10209000,20.9,34.43,160,55,18,562,117,127
2019-04-30,2019,4,mar,120,0,10209000,20.27,22.77,133,44,22,521,112,115
2019-05-01,2019,5,mie,121,0,10209000,21.01,22.88,162,49,26,484,107,109
2019-05-02,2019,5,jue,122,0,10209000,19.07,27.83,146,45,37,511,90,117
2019-05-03,2019,5,vie,123,0,10209000,18.75,32.54,143,40,24,490,103,110
2019-05-04,2019,5,sab,124,0,10209000,20.77,27.97,151,44,19,478,108,100
2019-05-05,2019,5,dom,125,0,10209000,20.33,18.55,149,43,17,530,100,114
2019-05-06,2019,5,lun,126,0,10209000,21.09,25.46,181,51,25,572,91,103
2019-05-07,2019,5,mar,127,0,10209000,19.62,24.98,164,42,24,478,101,133
2019-05-08,2019,5,mie,128,0,10209000,21.27,30.83,145,47,23,502,105,124
2019-05-09,2019,5,jue,129,0,10209000,18.93,31.91,163,39,23,513,80,116
2019-05-10,2019,5,vie,130,0,10209000,17.94,23.88,150,47,19,540,103,136
2019-05-11,2019,5,sab,131,0,10209000,16.72,21.41,157,36,25,497,120,144
2019-05-12,2019,5,dom,132,0,10209000,17.79,27.06,176,52,18,522,101,146
2019-05-13,2019,5,lun,133,0,10209000,20.04,27.69,176,51,25,582,105,127
2019-05-14,2019,5,mar,134,0,10209000,17.25,25.09,165,36,24,488,118,119
2019-05-15,2019,5,mie,135,0,10209000,18.42,26.84,169,56,28,555,93,121
2019-05-16,2019,5,jue,136,0,10209000,21.43,32.27,162,45,26,491,117,141
2019-05-17,2019,5,vie,137,0,10209000,19.87,27.64,151,55,29,514,113,132
2019-05-18,2019,5,sab,138,0,10209000,20.95,25.96,184,58,25,524,118,102
2019-05-19,2019,5,dom,139,0,10209000,17.56,22.84,151,56,30,518,119,132
2019-05-20,2019,5,lun,140,0,10209000,15.75,32.83,189,52,25,552,106,134
2019-05-21,2019,5,mar,141,0,10209000,20.47,27.42,162,52,31,495,104,125
2019-05-22,2019,5,mie,142,0,10209000,16.9,31.47,169,42,25,509,88,126
2019-05-23,2019,5,jue,143,0,10209000,18.66,31.15,171,56,32,568,116,142
2019-05-24,2019,5,vie,144,0,10209000,18.76,28.5,164,43,26,575,111,127
2019-05-25,2019,5,sab,145,0,10209000,17.31,23.41,156,38,26,584,104,151
2019-05-26,2019,5,dom,146,0,10209000,20.26,27.34,182,49,13,579,106,128
2019-05-27,2019,5,lun,147,0,10209000,20.2,29.32,164,58,32,597,108,123
2019-05-28,2019,5,mar,148,0,10209000,18.95,36.06,181,61,37,498,129,131
2019-05-29,2019,5,mie,149,0,10209000,18.21,26.89,174,51,26,559,121,123
2019-05-30,2019,5,jue,150,0,10209000,18.42,35.05,183,45,32,538,111,130
2019-05-31,2019,5,vie,151,0,10209000,16.83,37.44,170,44,24,592,116,126
2019-06-01,2019,6,sab,152,0,10209000,17.81,31.82,184,36,24,654,96,131
2019-06-02,2019,6,dom,153,0,10209000,17.92,32.39,165,39,24,530,119,129
2019-06-03,2019,6,lun,154,0,10209000,16.97,30.54,184,47,32,571,131,149
2019-06-04,2019,6,mar,155,0,10209000,18.96,34.2,161,54,29,560,140,135
2019-06-05,2019,6,mie,156,0,10209000,16.18,34.37,191,57,34,616,103,152
2019-06-06,2019,6,jue,157,0,10209000,17.3,24.15,170,53,24,571,117,139
2019-06-07,2019,6,vie,158,0,10209000,15.1,30.71,180,59,33,568,114,150
2019-06-08,2019,6,sab,159,0,10209000,18.35,23.41,150,60,25,575,129,143
2019-06-09,2019,6,dom,160,0,10209000,18.6,20.26,166,53,26,557,125,157
2019-06-10,2019,6,lun,161,0,10209000,18.4,32.58,174,54,40,590,125,153
2019-06-11,2019,6,mar,162,0,10209000,21.11,35.0,183,53,40,619,98,159
2019-06-12,2019,6,mie,163,0,10209000,18.69,29.6,158,56,19,533,114,146
2019-06-13,2019,6,jue,164,0,10209000,16.39,35.62,180,56,29,627,112,130
2019-06-14,2019,6,vie,165,0,10209000,20.67,35.99,166,52,26,649,113,131
2019-06-15,2019,6,sab,166,0,10209000,16.32,30.72,173,52,18,510,105,127
2019-06-16,2019,6,dom,167,0,10209000,18.33,27.87,187,41,33,596,106,144
2019-06-17,2019,6,lun,168,0,10209000,18.23,36.81,181,44,29,601,108,128
2019-06-18,2019,6,mar,169,0,10209000,16.24,42.36,162,59,32,568,103,144
2019-06-19,2019,6,mie,170,0,10209000,18.93,23.39,169,49,33,570,120,141
2019-06-20,2019,6,jue,171,0,10209000,17.63,37.38,169,54,33,550,107,145
2019-06-21,2019,6,vie,172,0,10209000,17.85,28.04,171,54,28,575,121,119
2019-06-22,2019,6,sab,173,0,10209000,16.31,35.13,174,48,21,551,117,150
2019-06-23,2019,6,dom,174,0,10209000,18.65,35.95,175,60,26,589,123,153
2019-06-24,2019,6,lun,175,0,10209000,16.01,32.04,175,56,30,618,110,165
2019-06-25,2019,6,mar,176,0,10209000,14.87,31.98,182,44,23,534,120,142
2019-06-26,2019,6,mie,177,0,10209000,18.67,34.12,194,53,25,579,114,115
2019-06-27,2019,6,jue,178,0,10209000,16.41,34.88,191,69,35,568,120,164
2019-06-28,2019,6,vie,179,0,10209000,16.94,33.34,177,52,25,582,110,163
2019-06-29,2019,6,sab,180,0,10209000,19.16,37.1,181,48,27,633,113,136
2019-06-30,2019,6,dom,181,0,10209000,18.17,23.63,188,58,31,592,100,147
2019-07-01,2019,7,lun,182,0,10209000,17.53,32.01,190,57,31,609,134,170
2019-07-02,2019,7,mar,183,0,10209000,18.02,37.83,174,55,28,631,127,140
2019-07-03,2019,7,mie,184,0,10209000,15.83,33.18,198,54,34,587,123,153
2019-07-04,2019,7,jue,185,0,10209000,17.57,33.42,159,56,36,625,115,148
2019-07-05,2019,7,vie,186,0,10209000,17.97,33.2,163,65,22,607,100,152
2019-07-06,2019,7,sab,187,0,10209000,17.51,36.51,162,40,42,627,115,138
2019-07-07,2019,7,dom,188,0,10209000,16.32,35.26,184,52,29,571,125,140
2019-07-08,2019,7,lun,189,0,10209000,12.04,28.19,186,75,30,597,129,147
2019-07-09,2019,7,mar,190,0,10209000,17.17,29.16,165,55,31,603,125,149
2019-07-10,2019,7,mie,191,0,10209000,16.61,32.81,189,45,28,574,111,150
2019-07-11,2019,7,jue,192,0,10209000,16.0,34.21,191,54,28,618,114,142
2019-07-12,2019,7,vie,193,0,10209000,17.35,39.46,156,44,33,592,131,133
2019-07-13,2019,7,sab,194,0,10209000,16.71,31.36,193,42,36,620,133,159
2019-07-14,2019,7,dom,195,0,10209000,16.6,38.57,197,60,32,589,117,169
2019-07-15,2019,7,lun,196,0,10209000,14.55,44.3,192,49,30,651,126,171
2019-07-16,2019,7,mar,197,0,10209000,14.55,30.65,211,53,35,582,128,143
2019-07-17,2019,7,mie,198,0,10209000,16.73,35.85,181,50,31,603,106,172
2019-07-18,2019,7,jue,199,0,10209000,16.35,40.16,187,75,24,650,129,164
2019-07-19,2019,7,vie,200,0,10209000,16.4,36.18,206,64,23,628,105,172
2019-07-20,2019,7,sab,201,0,10209000,16.41,33.74,168,55,24,596,130,183
2019-07-21,2019,7,dom,202,0,10209000,16.68,29.73,180,59,23,593,115,146
2019-07-22,2019,7,lun,203,0,10209000,16.21,32.26,156,50,33,619,114,151
2019-07-23,2019,7,mar,204,0,10209000,16.33,36.03,199,58,31,576,104,163
2019-07-24,2019,7,mie,205,0,10209000,16.43,39.98,169,59,36,616,127,155
2019-07-25,2019,7,jue,206,0,10209000,17.22,29.73,183,58,27,657,116,164
2019-07-26,2019,7,vie,207,0,10209000,15.47,34.26,179,60,36,593,149,155
2019-07-27,2019,7,sab,208,0,10209000,17.01,40.96,175,58,32,581,121,154
2019-07-28,2019,7,dom,209,1,10209000,16.82,30.95,152,34,23,612,123,139
2019-07-29,2019,7,lun,210,1,10209000,16.17,35.74,176,56,18,506,101,124
2019-07-30,2019,7,mar,211,0,10209000,15.45,38.88,173,61,36,598,128,156
2019-07-31,2019,7,mie,212,0,10209000,16.45,37.71,197,51,32,640,110,146
2019-08-01,2019,8,jue,213,0,10209000,17.03,34.03,189,47,25,497,113,151
2019-08-02,2019,8,vie,214,0,10209000,14.69,33.68,185,52,29,594,133,162
2019-08-03,2019,8,sab,215,0,10209000,16.05,39.36,183,60,33,605,120,147
2019-08-04,2019,8,dom,216,0,10209000,16.04,26.96,164,58,32,572,126,156
2019-08-05,2019,8,lun,217,0,10209000,15.16,27.87,204,54,38,573,103,132
2019-08-06,2019,8,mar,218,0,10209000,15.2,40.16,188,57,26,591,117,149
2019-08-07,2019,8,mie,219,0,10209000,14.08,40.85,211,58,29,611,108,160
2019-08-08,2019,8,jue,220,0,10209000,14.61,29.67,194,48,34,603,142,165
2019-08-09,2019,8,vie,221,0,10209000,14.08,38.85,211,63,34,657,120,153
2019-08-10,2019,8,sab,222,0,10209000,15.18,33.22,216,58,35,675,119,146
2019-08-11,2019,8,dom,223,0,10209000,15.24,30.79,173,58,35,614,119,167
2019-08-12,2019,8,lun,224,0,10209000,15.26,34.85,193,50,33,656,127,165
2019-08-13,2019,8,mar,225,0,10209000,16.35,43.49,204,58,35,609,137,167
2019-08-14,2019,8,mie,226,0,10209000,15.68,37.92,194,70,25,650,135,149
2019-08-15,2019,8,jue,227,0,10209000,15.03,37.08,216,56,23,610,112,159
2019-08-16,2019,8,vie,228,0,10209000,15.04,36.67,199,57,36,600,117,163
2019-08-17,2019,8,sab,229,0,10209000,14.55,28.01,182,56,25,575,116,168
2019-08-18,2019,8,dom,230,0,10209000,15.67,29.32,183,57,27,573,128,146
2019-08-19,2019,8,lun,231,0,10209000,15.66,33.11,177,62,31,658,137,148
2019-08-20,2019,8,mar,232,0,10209000,17.86,29.34,180,67,28,646,121,153
2019-08-21,2019,8,mie,233,0,10209000,17.76,36.3,196,59,26,562,125,141
2019-08-22,2019,8,jue,234,0,10209000,17.7,39.31,205,53,36,566,117,150
2019-08-23,2019,8,vie,235,0,10209000,18.43,32.99,197,62,37,604,134,159
2019-08-24,2019,8,sab,236,0,10209000,14.48,26.27,171,48,35,552,108,150
2019-08-25,2019,8,dom,237,0,10209000,16.76,26.32,189,60,28,635,127,138
2019-08-26,2019,8,lun,238,0,10209000,16.87,41.14,166,57,25,583,140,164
2019-08-27,2019,8,mar,239,0,10209000,16.54,30.12,186,55,23,571,120,154
2019-08-28,2019,8,mie,240,0,10209000,18.53,26.84,168,55,29,583,100,140
2019-08-29,2019,8,jue,241,0,10209000,19.03,25.4,167,55,31,559,123,134
2019-08-30,2019,8,vie,242,0,10209000,17.18,30.36,158,52,27,526,109,143
2019-08-31,2019,8,sab,243,0,10209000,16.8,35.69,176,56,35,501,107,128
2019-09-01,2019,9,dom,244,0,10209000,14.68,35.75,168,51,27,506,135,156
2019-09-02,2019,9,lun,245,0,10209000,14.7,35.33,162,40,25,546,129,140
2019-09-03,2019,9,mar,246,0,10209000,16.9,28.56,174,56,30,576,121,149
2019-09-04,2019,9,mie,247,0,10209000,15.99,36.26,181,52,30,551,108,159
2019-09-05,2019,9,jue,248,0,10209000,14.5,31.05,178,44,37,640,96,141
2019-09-06,2019,9,vie,249,0,10209000,15.96,34.95,160,41,25,582,112,148
2019-09-07,2019,9,sab,250,0,10209000,16.56,39.67,161,42,36,606,113,161
2019-09-08,2019,9,dom,251,0,10209000,17.27,27.52,187,49,36,563,118,165
2019-09-09,2019,9,lun,252,0,10209000,16.04,24.71,179,51,30,625,114,151
2019-09-10,2019,9,mar,253,0,10209000,15.87,40.94,160,53,24,550,121,153
2019-09-11,2019,9,mie,254,0,10209000,16.22,30.47,163,47,36,608,112,140
2019-09-12,2019,9,jue,255,0,10209000,16.45,30.24,162,57,29,558,109,153
2019-09-13,2019,9,vie,256,0,10209000,14.87,22.82,145,49,31,552,108,147
2019-09-14,2019,9,sab,257,0,10209000,17.29,31.62,182,56,26,601,114,138
2019-09-15,2019,9,dom,258,0,10209000,18.94,33.02,167,55,28,554,114,155
2019-09-16,2019,9,lun,259,0,10209000,17.32,31.89,170,59,29,576,114,160
2019-09-17,2019,9,mar,260,0,10209000,14.63,35.95,159,46,25,592,120,147
2019-09-18,2019,9,mie,261,0,10209000,16.51,28.36,172,56,31,608,115,153
2019-09-19,2019,9,jue,262,0,10209000,14.31,36.95,165,57,30,627,106,139
2019-09-20,2019,9,vie,263,0,10209000,14.26,33.94,197,42,37,548,109,156
2019-09-21,2019,9,sab,264,0,10209000,17.28,35.74,188,49,27,545,92,156
2019-09-22,2019,9,dom,265,0,10209000,16.61,18.41,169,51,24,538,109,166
2019-09-23,2019,9,lun,266,0,10209000,15.72,23.36,175,60,32,614,113,163
2019-09-24,2019,9,mar,267,0,10209000,14.07,33.91,178,39,28,539,126,144
2019-09-25,2019,9,mie,268,0,10209000,15.09,31.19,188,56,31,577,129,139
2019-09-26,2019,9,jue,269,0,10209000,16.84,24.57,185,56,24,605,124,135
2019-09-27,2019,9,vie,270,0,10209000,16.72,29.48,173,60,30,546,118,138
2019-09-28,2019,9,sab,271,0,10209000,17.54,30.51,167,59,39,557,148,126
2019-09-29,2019,9,dom,272,0,10209000,18.58,31.41,174,58,33,611,117,138
2019-09-30,2019,9,lun,273,0,10209000,16.38,29.89,185,42,24,576,110,149
2019-10-01,2019,10,mar,274,0,10209000,17.39,28.88,155,33,27,568,132,145
2019-10-02,2019,10,mie,275,0,10209000,16.7,30.6,189,63,32,563,108,132
2019-10-03,2019,10,jue,276,0,10209000,16.3,27.85,186,62,24,579,115,155
2019-10-04,2019,10,vie,277,0,10209000,16.64,37.48,160,51,25,561,126,131
2019-10-05,2019,10,sab,278,0,10209000,18.13,22.62,159,40,25,523,102,131
2019-10-06,2019,10,dom,279,0,10209000,15.78,24.67,163,49,27,536,123,131
2019-10-07,2019,10,lun,280,0,10209000,18.43,26.46,175,53,25,529,122,133
2019-10-08,2019,10,mar,281,0,10209000,18.87,35.01,170,40,28,523,106,158
2019-10-09,2019,10,mie,282,0,10209000,17.18,24.41,180,40,34,577,104,140
2019-10-10,2019,10,jue,283,0,10209000,17.49,31.32,137,54,28,504,118,136
2019-10-11,2019,10,vie,284,0,10209000,15.53,26.44,159,53,20,557,93,115
2019-10-12,2019,10,sab,285,0,10209000,20.1,21.28,164,45,25,467,112,118
2019-10-13,2019,10,dom,286,0,10209000,18.49,12.93,191,60,32,491,119,135
2019-10-14,2019,10,lun,287,0,10209000,17.56,25.89,158,63,22,531,125,123
2019-10-15,2019,10,mar,288,0,10209000,17.47,34.41,139,48,22,486,109,149
2019-10-16,2019,10,mie,289,0,10209000,17.99,22.36,183,44,25,475,99,134
2019-10-17,2019,10,jue,290,0,10209000,16.71,11.03,162,36,21,513,118,108
2019-10-18,2019,10,vie,291,0,10209000,17.88,26.94,166,45,24,526,102,131
2019-10-19,2019,10,sab,292,0,10209000,16.47,16.28,173,41,26,501,119,127
2019-10-20,2019,10,dom,293,0,10209000,18.23,13.18,182,50,29,471,99,116
2019-10-21,2019,10,lun,294,0,10209000,16.86,22.26,157,47,29,514,111,139
2019-10-22,2019,10,mar,295,0,10209000,18.8,17.98,159,43,13,511,121,119
2019-10-23,2019,10,mie,296,0,10209000,17.63,29.73,167,49,25,584,107,127
2019-10-24,2019,10,jue,297,0,10209000,18.14,25.34,159,48,30,510,124,146
2019-10-25,2019,10,vie,298,0,10209000,21.42,27.19,160,44,34,515,99,133
2019-10-26,2019,10,sab,299,0,10209000,18.88,17.74,144,43,28,476,109,123
2019-10-27,2019,10,dom,300,0,10209000,18.29,20.2,159,33,27,514,92,134
2019-10-28,2019,10,lun,301,0,10209000,18.07,20.72,153,50,26,439,104,131
2019-10-29,2019,10,mar,302,0,10209000,16.82,24.63,174,45,33,553,120,145
2019-10-30,2019,10,mie,303,0,10209000,19.41,11.9,164,44,29,487,93,123
2019-10-31,2019,10,jue,304,0,10209000,20.09,22.69,142,45,18,535,113,118
2019-11-01,2019,11,vie,305,0,10209000,18.29,27.84,148,41,23,492,104,119
2019-11-02,2019,11,sab,306,0,10209000,20.28,28.02,153,43,28,463,110,106
2019-11-03,2019,11,dom,307,0,10209000,18.18,23.49,162,34,21,468,102,122
2019-11-04,2019,11,lun,308,0,10209000,16.24,22.88,138,46,33,469,107,126
2019-11-05,2019,11,mar,309,0,10209000,17.63,13.47,167,47,27,430,101,122
2019-11-06,2019,11,mie,310,0,10209000,17.2,22.58,149,46,25,544,100,146
