semana_inicio,anio,tiempo,post,tiempo_post,pm25_sem,hosp_resp_sem
2018-07-02,2018,1,0,0,31.38,484
2018-07-09,2018,2,0,0,35.96,511
2018-07-16,2018,3,0,0,32.96,488
2018-07-23,2018,4,0,0,38.78,549
2018-07-30,2018,5,0,0,31.97,481
2018-08-06,2018,6,0,0,30.07,485
2018-08-13,2018,7,0,0,35.01,499
2018-08-20,2018,8,0,0,30.4,469
2018-08-27,2018,9,0,0,34.58,478
2018-09-03,2018,10,0,0,37.95,503
2018-09-10,2018,11,0,0,33.54,469
2018-09-17,2018,12,0,0,26.89,451
2018-09-24,2018,13,0,0,26.94,444
2018-10-01,2018,14,0,0,26.29,411
2018-10-08,2018,15,0,0,32.23,464
2018-10-15,2018,16,0,0,32.28,393
2018-10-22,2018,17,0,0,29.61,391
2018-10-29,2018,18,0,0,19.68,385
2018-11-05,2018,19,0,0,27.43,389
2018-11-12,2018,20,0,0,26.19,374
2018-11-19,2018,21,0,0,25.04,347
2018-11-26,2018,22,0,0,23.24,313
2018-12-03,2018,23,0,0,17.81,322
2018-12-10,2018,24,0,0,13.25,298
2018-12-17,2018,25,0,0,16.93,336
2018-12-24,2018,26,0,0,19.88,302
2018-12-31,2018,27,0,0,17.97,338
2019-01-07,2019,28,0,0,17.49,332
2019-01-14,2019,29,0,0,17.47,315
2019-01-21,2019,30,0,0,20.6,347
2019-01-28,2019,31,0,0,20.53,342
2019-02-04,2019,32,0,0,22.74,336
2019-02-11,2019,33,0,0,23.84,355
2019-02-18,2019,34,0,0,21.64,331
2019-02-25,2019,35,0,0,21.58,334
2019-03-04,2019,36,0,0,23.96,341
2019-03-11,2019,37,0,0,18.89,332
2019-03-18,2019,38,0,0,28.32,392
2019-03-25,2019,39,0,0,23.62,389
2019-04-01,2019,40,0,0,24.09,367
2019-04-08,2019,41,0,0,19.15,389
2019-04-15,2019,42,0,0,27.73,425
2019-04-22,2019,43,0,0,29.04,377
2019-04-29,2019,44,0,0,25.73,443
2019-05-06,2019,45,0,0,26.52,441
2019-05-13,2019,46,0,0,28.31,458
2019-05-20,2019,47,0,0,27.48,480
2019-05-27,2019,48,0,0,25.82,469
2019-06-03,2019,49,0,0,36.94,495
2019-06-10,2019,50,0,0,38.3,521
2019-06-17,2019,51,0,0,33.52,460
2019-06-24,2019,52,0,0,34.59,550
2019-07-01,2019,53,0,0,36.14,549
2019-07-08,2019,54,0,0,34.29,513
2019-07-15,2019,55,0,0,40.02,554
2019-07-22,2019,56,0,0,39.31,558
2019-07-29,2019,57,0,0,39.96,525
2019-08-05,2019,58,0,0,35.39,562
2019-08-12,2019,59,0,0,34.27,540
2019-08-19,2019,60,0,0,32.93,524
2019-08-26,2019,61,0,0,38.53,532
2019-09-02,2019,62,0,0,29.61,461
2019-09-09,2019,63,0,0,36.68,497
2019-09-16,2019,64,0,0,34.58,482
2019-09-23,2019,65,0,0,32.67,478
2019-09-30,2019,66,0,0,32.43,472
2019-10-07,2019,67,0,0,26.45,461
2019-10-14,2019,68,0,0,28.52,418
2019-10-21,2019,69,0,0,22.41,422
2019-10-28,2019,70,0,0,28.13,389
2019-11-04,2019,71,0,0,28.58,444
2019-11-11,2019,72,0,0,16.92,381
2019-11-18,2019,73,0,0,26.5,379
2019-11-25,2019,74,0,0,23.32,354
2019-12-02,2019,75,0,0,21.68,375
2019-12-09,2019,76,0,0,22.47,334
2019-12-16,2019,77,0,0,22.62,324
2019-12-23,2019,78,0,0,22.68,333
2019-12-30,2019,79,0,0,18.94,321
2020-01-06,2020,80,0,0,18.02,344
2020-01-13,2020,81,0,0,23.54,352
2020-01-20,2020,82,0,0,19.47,335
2020-01-27,2020,83,0,0,25.56,348
2020-02-03,2020,84,0,0,21.83,342
2020-02-10,2020,85,0,0,21.45,332
2020-02-17,2020,86,0,0,17.97,350
2020-02-24,2020,87,0,0,19.61,362
2020-03-02,2020,88,0,0,26.52,368
2020-03-09,2020,89,0,0,25.98,398
2020-03-16,2020,90,0,0,24.89,370
2020-03-23,2020,91,0,0,29.03,413
2020-03-30,2020,92,0,0,29.33,411
2020-04-06,2020,93,0,0,29.69,392
2020-04-13,2020,94,0,0,30.08,439
2020-04-20,2020,95,0,0,27.08,428
2020-04-27,2020,96,0,0,32.7,446
2020-05-04,2020,97,0,0,32.21,466
2020-05-11,2020,98,0,0,30.75,506
2020-05-18,2020,99,0,0,33.58,515
2020-05-25,2020,100,0,0,34.12,513
2020-06-01,2020,101,0,0,34.06,523
2020-06-08,2020,102,0,0,32.95,507
2020-06-15,2020,103,0,0,35.37,532
2020-06-22,2020,104,0,0,40.82,548
2020-06-29,2020,105,0,0,44.86,572
2020-07-06,2020,106,0,0,43.59,552
2020-07-13,2020,107,0,0,43.19,536
2020-07-20,2020,108,0,0,39.76,583
2020-07-27,2020,109,0,0,45.6,600
2020-08-03,2020,110,0,0,43.97,539
2020-08-10,2020,111,0,0,45.47,584
2020-08-17,2020,112,0,0,43.93,569
2020-08-24,2020,113,0,0,40.64,537
2020-08-31,2020,114,0,0,40.76,566
2020-09-07,2020,115,0,0,42.58,526
2020-09-14,2020,116,0,0,36.5,511
2020-09-21,2020,117,0,0,37.34,486
2020-09-28,2020,118,0,0,34.19,514
2020-10-05,2020,119,0,0,30.46,451
2020-10-12,2020,120,0,0,28.69,425
2020-10-19,2020,121,0,0,30.07,431
