"block_id","user_app","date","lat","long","type_house","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep","head_or_observe_dogs_inside_house","multifamily","cluster"
"1.29.32-2","VP06","2024-12-01T08:12:52.611025","-16.3033128","-71.617732500000002","P","si",3,"0",3,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:13:18.823388","-16.3033079","-71.617730100000003","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T08:17:32.509111","-16.303798700000002","-71.617222299999995","P","si",2,"0",2,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:18:16.655981","-16.3081973","-71.615737800000005","P","si",1,"0",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:19:06.439832","-16.308110500000002","-71.615806800000001","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:19:08.063790","-16.313262399999999","-71.603556100000006","P","si",1,"1",0,NA,"no","cluster19"
"1.29.38-28","VP05","2024-12-01T08:19:52.438663","-16.312873799999998","-71.610394400000004","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-28","VP05","2024-12-01T08:20:02.861523","-16.313040999999998","-71.610184200000006","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.38-28","VP05","2024-12-01T08:20:17.939744","-16.313067","-71.610125199999999","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:20:19.640604","-16.308230099999999","-71.615953000000005","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-28","VP05","2024-12-01T08:20:31.342685","-16.313061699999999","-71.610116700000006","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-28","VP05","2024-12-01T08:20:41.399445","-16.3131448","-71.610036899999997","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-28","VP05","2024-12-01T08:21:07.419656","-16.313274499999999","-71.609950999999995","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:21:50.490528","-16.313344600000001","-71.609910200000002","P","si",2,"2",0,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:21:51.267886","-16.3131056","-71.603395899999995","P","si",1,"1",0,NA,"no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:22:15.708101","-16.313344900000001","-71.609848099999994","P","si",1,"1",0,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:22:41.101272","-16.312997800000002","-71.603275199999999","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:22:51.423039","-16.313537100000001","-71.609683899999993","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:22:57.500962","-16.3130524","-71.603161499999999","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:23:20.508026","-16.3135382","-71.6096869","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.31-25","VP03","2024-12-01T08:23:24.263304","-16.309187699999999","-71.607986699999998","P","si",2,"2",1,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T08:23:06.533517","-16.303460000000001","-71.617430400000003","P","si",3,"0",3,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:23:48.458027","-16.308266199999998","-71.615932400000005","P","si",1,"1",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:23:59.084737","-16.3131761","-71.6030406","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:24:10.301537","-16.313167499999999","-71.603029899999996","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:24:34.417898","-16.313137099999999","-71.602992999999998","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:24:54.274993","-16.313556599999998","-71.609541199999995","P","si",3,"1",1,NA,"no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:25:09.749166","-16.313534499999999","-71.609607400000002","DOG_ANOTHER_AREA",NA,1,"1",1,NA,"no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:25:20.389782","-16.313526599999999","-71.609637899999996","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:25:17.184358","-16.313148699999999","-71.602898800000006","P","si",1,"1",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:25:16.636080","-16.3082703","-71.616187600000003","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.32-2","VP06","2024-12-01T08:25:30.893389","-16.3034778","-71.617520099999993","P","si",1,"0",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:25:37.486362","-16.308308700000001","-71.616179799999998","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:25:54.286088","-16.308340900000001","-71.616168999999999","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:26:18.003148","-16.3087546","-71.616527300000001","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:25:25.891622","-16.313526100000001","-71.609635100000006","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-27","VP05","2024-12-01T08:26:59.945533","-16.313539200000001","-71.609631199999995","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:27:21.202355","-16.3086825","-71.616268199999993","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:27:34.863814","-16.313199099999999","-71.602842300000006","P","si",1,"1",0,NA,"no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:28:35.429004","-16.314487499999998","-71.603561099999993","P","si",2,"0",2,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:28:41.818779","-16.308723700000002","-71.616303299999998","P","si",1,"1",0,NA,"no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:28:58.952170","-16.314559800000001","-71.603613699999997","P","si",1,"1",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:29:13.136012","-16.308715200000002","-71.616323300000005","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:29:21.033628","-16.314548299999998","-71.603634999999997","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:29:28.837679","-16.314548299999998","-71.603634999999997","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:29:36.713069","-16.314548299999998","-71.603634999999997","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.31-25","VP03","2024-12-01T08:26:39.024578","-16.309208099999999","-71.608149299999994","P","si",4,"4",4,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:30:22.437996","-16.303287000000001","-71.617482499999994","P","si",1,"0",1,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:32:21.135945","-16.308737399999998","-71.616332","R",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:32:44.035684","-16.3087394","-71.616334600000002","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:32:55.168505","-16.308817699999999","-71.616461099999995","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.35-1","VP03","2024-12-01T08:33:12.392128","-16.309068","-71.607825800000001","DOG_ANOTHER_AREA",NA,1,"1",1,NA,"no","cluster19"
"1.29.35-1","VP03","2024-12-01T08:33:29.745007","-16.3090698","-71.607830100000001","DOG_ANOTHER_AREA",NA,1,"1",1,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T08:33:54.646197","-16.303416899999998","-71.617547999999999","P","si",1,"0",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:34:50.895195","-16.3132321","-71.602733900000004","P","si",1,"0",1,NA,"no","cluster19"
