"block_id","cluster_std","user_std","date","date_clean","lat","long","type_house_std","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep"
"1.18.6-26","CLUSTER15","VP21","2025-06-22T09:08:01.435965",2025-06-22 09:08:01.435965,"-16.4354598","-71.581212500000007","P","no",0,0,0
"1.18.6-26","CLUSTER15","VP21","2025-06-22T09:10:02.337772",2025-06-22 09:10:02.337772,"-16.435466999999999","-71.581166899999999","P","si",2,0,2
"1.18.6-27","CLUSTER15","VP21","2025-06-22T09:14:39.466009",2025-06-22 09:14:39.466009,"-16.4352877","-71.581333299999997","P","si",1,0,1
"1.18.6-26","CLUSTER15","VP21","2025-06-22T09:22:13.919992",2025-06-22 09:22:13.919992,"-16.435275600000001","-71.581344599999994","P","si",1,0,1
"1.18.6-27","CLUSTER15","VP21","2025-06-22T09:28:39.577684",2025-06-22 09:28:39.577684,"-16.435084","-71.581738299999998","P","si",2,2,0
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:30:15.842278",2025-06-22 09:30:15.842278,"-16.4345888","-71.58202","P","si",1,0,0
"1.18.6-28","CLUSTER15","VP21","2025-06-22T09:33:43.398418",2025-06-22 09:33:43.398418,"-16.434475500000001","-71.582208100000003","P","si",1,0,1
"1.18.6-27","CLUSTER15","VP21","2025-06-22T09:39:57.622254",2025-06-22 09:39:57.622254,"-16.434472199999998","-71.582145800000006","DOG_ANOTHER_AREA",NA,1,0,1
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:40:16.055115",2025-06-22 09:40:16.055115,"-16.434492200000001","-71.582192300000003","P","si",1,0,1
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:43:21.512500",2025-06-22 09:43:21.5125,"-16.4344842","-71.582299199999994","DOG_ANOTHER_AREA",NA,1,0,1
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:43:44.578793",2025-06-22 09:43:44.578793,"-16.434510800000002","-71.582208199999997","P","si",1,0,1
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:46:43.190333",2025-06-22 09:46:43.190333,"-16.434489599999999","-71.582222299999998","DOG_ANOTHER_AREA",NA,2,0,2
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:51:54.037431",2025-06-22 09:51:54.037431,"-16.434480199999999","-71.582259300000004","DOG_ANOTHER_AREA",NA,2,0,2
"1.18.6-32","CLUSTER15","VP21","2025-06-22T09:57:50.235851",2025-06-22 09:57:50.235851,"-16.434497100000002","-71.582219199999997","P","si",1,0,1
"1.18.6-35","CLUSTER15","VP21","2025-06-22T10:04:32.644539",2025-06-22 10:04:32.644539,"-16.434474900000001","-71.582206499999998","P","si",1,0,1
"1.18.6-36","CLUSTER15","VP21","2025-06-22T10:11:04.263421",2025-06-22 10:11:04.263421,"-16.434367099999999","-71.582299500000005","P","si",5,0,5
"1.18.6-37","CLUSTER15","VP21","2025-06-22T10:16:45.624233",2025-06-22 10:16:45.624233,"-16.4339935","-71.582590300000007","P","no",0,0,0
"1.18.6-32","CLUSTER15","VP21","2025-06-22T10:26:06.764260",2025-06-22 10:26:06.76426,"-16.434581600000001","-71.582141399999998","P","si",2,0,2
"1.18.6-33","CLUSTER15","VP21","2025-06-22T10:28:36.572258",2025-06-22 10:28:36.572258,"-16.434517199999998","-71.582103799999999","P","si",1,0,1
