"block_id","user_std","date_clean","type_house_std","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep"
"1.18.6-26","VP21",2025-06-22 09:07:45.543919,"C",NA,0,0,0
"1.18.6-26","VP21",2025-06-22 09:08:01.435965,"P","no",0,0,0
"1.18.6-26","VP21",2025-06-22 09:09:46.552727,"C",NA,0,0,0
"1.18.6-26","VP21",2025-06-22 09:10:02.337772,"P","si",2,0,2
"1.18.6-27","VP21",2025-06-22 09:14:39.466009,"P","si",1,0,1
"1.18.6-26","VP21",2025-06-22 09:22:13.919992,"P","si",1,0,1
"1.18.6-27","VP21",2025-06-22 09:26:49.977009,"C",NA,0,0,0
"1.18.6-27","VP21",2025-06-22 09:26:57.610573,"C",NA,0,0,0
"1.18.6-27","VP21",2025-06-22 09:28:23.127112,"C",NA,0,0,0
"1.18.6-27","VP21",2025-06-22 09:28:39.577684,"P","si",2,2,0
"1.18.6-32","VP21",2025-06-22 09:30:15.842278,"P","si",1,0,0
"1.18.6-32","VP21",2025-06-22 09:31:33.402309,"C",NA,0,0,0
"1.18.6-32","VP21",2025-06-22 09:32:42.301597,"R",NA,0,0,0
"1.18.6-28","VP21",2025-06-22 09:33:43.398418,"P","si",1,0,1
"1.18.6-27","VP21",2025-06-22 09:39:57.622254,"DOG_ANOTHER_AREA",NA,1,0,1
"1.18.6-32","VP21",2025-06-22 09:40:16.055115,"P","si",1,0,1
"1.18.6-32","VP21",2025-06-22 09:43:21.5125,"DOG_ANOTHER_AREA",NA,1,0,1
"1.18.6-32","VP21",2025-06-22 09:43:44.578793,"P","si",1,0,1
"1.18.6-32","VP21",2025-06-22 09:46:43.190333,"DOG_ANOTHER_AREA",NA,2,0,2
"1.18.6-32","VP21",2025-06-22 09:51:54.037431,"DOG_ANOTHER_AREA",NA,2,0,2
"1.18.6-32","VP21",2025-06-22 09:57:50.235851,"P","si",1,0,1
"1.18.6-35","VP21",2025-06-22 10:04:32.644539,"P","si",1,0,1
"1.18.6-36","VP21",2025-06-22 10:11:04.263421,"P","si",5,0,5
"1.18.6-36","VP21",2025-06-22 10:14:27.897877,"C",NA,0,0,0
"1.18.6-37","VP21",2025-06-22 10:16:45.624233,"P","no",0,0,0
"1.18.6-37","VP21",2025-06-22 10:21:02.639927,"C",NA,0,0,0
"1.18.6-37","VP21",2025-06-22 10:23:15.707178,"R",NA,0,0,0
"1.18.6-32","VP21",2025-06-22 10:26:06.76426,"P","si",2,0,2
"1.18.6-33","VP21",2025-06-22 10:28:36.572258,"P","si",1,0,1
"1.18.6-33","VP21",2025-06-22 10:30:33.966383,"P","si",1,0,1
"1.18.6-32","VP21",2025-06-22 10:35:16.119166,"D",NA,0,0,0
"1.18.6-32","VP21",2025-06-22 10:36:15.069467,"P","si",1,0,1
"1.18.6-36","VP21",2025-06-22 10:43:22.180965,"P","si",1,0,1
"1.18.6-32","VP21",2025-06-22 10:49:12.25632,"P","si",1,0,1
"1.18.7-2","VP21",2025-06-22 10:52:05.208034,"P","no",0,0,0
"1.18.6-32","VP21",2025-06-22 10:53:33.157857,"P","si",1,0,1
"1.18.6-31","VP21",2025-06-22 11:00:22.815154,"C",NA,0,0,0
"1.18.6-31","VP21",2025-06-22 11:01:41.380853,"D",NA,0,0,0
"1.18.6-32","VP21",2025-06-22 11:05:40.422098,"P","si",2,0,2
"1.18.6-30","VP21",2025-06-22 11:13:14.537555,"P","no",0,0,0
"1.18.6-29","VP21",2025-06-22 11:17:24.733867,"P","si",5,0,2
"1.18.6-29","VP21",2025-06-22 11:23:18.330628,"P","si",2,2,0
"1.18.6-29","VP21",2025-06-22 11:35:49.252278,"D",NA,0,0,0
"1.18.6-29","VP21",2025-06-22 11:36:59.052862,"C",NA,0,0,0
"1.18.6-33","VP21",2025-06-22 11:38:40.586014,"C",NA,0,0,0
"1.18.6-33","VP21",2025-06-22 11:39:00.202522,"P","no",0,0,0
"1.18.6-33","VP21",2025-06-22 11:39:17.235572,"P","si",2,0,2
"1.18.6-35","VP21",2025-06-22 11:40:30.381139,"C",NA,0,0,0
"1.18.6-35","VP21",2025-06-22 11:41:30.801431,"C",NA,0,0,0
"1.18.6-34","VP21",2025-06-22 11:44:06.23255,"P","si",1,0,1
"1.18.6-34","VP21",2025-06-22 11:46:46.903425,"P","si",2,0,0
"1.18.6-34","VP21",2025-06-22 11:48:22.386677,"P","no",0,0,0
"1.18.6-29","VP21",2025-06-22 11:50:07.937194,"C",NA,0,0,0
"1.18.6-29","VP21",2025-06-22 11:50:33.569565,"P","no",0,0,0
"1.18.6-29","VP21",2025-06-22 11:51:49.020127,"P","si",2,0,2
"1.18.6-39","VP21",2025-06-22 11:54:20.16659,"C",NA,0,0,0
"1.18.6-29","VP21",2025-06-22 11:57:58.232268,"P","si",4,0,0
"1.18.6-28","VP21",2025-06-22 12:01:44.932208,"C",NA,0,0,0
"1.18.6-28","VP21",2025-06-22 12:02:28.336566,"C",NA,0,0,0
"1.18.6-28","VP21",2025-06-22 12:03:10.370886,"P","no",0,0,0
"1.18.6-28","VP21",2025-06-22 12:04:06.747826,"R",NA,0,0,0
"1.18.6-24","VP21",2025-06-22 12:15:38.401154,"P","si",1,0,1
