"block_id";"user_app";"date";"lat";"long";"type_house";"raise_dog_house";"number_dog_house";"number_dog_vaccinated_2024";"number_dog_vaccinated_sweep";"head_or_observe_dogs_inside_house";"multifamily";"cluster"
"1.8.19-3";"VP32";"2025-06-29T08:42:44.458395";"-16.430749200000001";"-71.5406586";"R";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.19-3";"VP32";"2025-06-29T08:45:20.384602";"-16.4306789";"-71.540918500000004";"R";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T08:55:07.422590";"-16.455660000000002";"-71.514451699999995";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.19-3";"VP32";"2025-06-29T09:04:43.691916";"-16.4312039";"-71.541489900000002";"P";"si";3;"1";1;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T09:05:20.004276";"-16.455746699999999";"-71.514483299999995";"P";"si";3;"0";3;NA;"no";"cluster3"
"1.8.19-3";"VP32";"2025-06-29T09:05:51.044350";"-16.431182700000001";"-71.541488599999994";"P";"si";3;"2";1;NA;"no";"cluster3"
"1.8.19-5";"VP32";"2025-06-29T09:14:52.332934";"-16.431398699999999";"-71.541791000000003";"P";"si";4;"0";4;NA;"no";"cluster3"
"1.8.11-9";"VP44";"2025-06-29T09:18:35.406946";"-16.443161700000001";"-71.520839199999998";"P";"no";NA;NA;NA;NA;"no";"cluster3"
"1.8.11-9";"VP44";"2025-06-29T09:20:02.029022";"-16.4431683";"-71.520866299999994";"P";"si";1;"1";0;NA;"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T09:23:02.792042";"-16.430906700000001";"-71.512091999999996";"R";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.30-2";"VP31";"2025-06-29T09:24:18.080622";"-16.442411";"-71.503999399999998";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T09:25:17.745247";"-16.4557273";"-71.514427999999995";"DOG_ANOTHER_AREA";NA;1;"0";1;NA;"no";"cluster3"
"1.8.30-2";"VP31";"2025-06-29T09:25:25.268406";"-16.442462299999999";"-71.504101500000004";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.70-5";"VP32";"2025-06-29T09:26:47.164830";"-16.431503299999999";"-71.542175";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.30-6";"VP31";"2025-06-29T09:28:47.981226";"-16.441886";"-71.504464799999994";"P";"si";2;"2";0;NA;"no";"cluster3"
"1.8.11-9";"VP44";"2025-06-29T09:29:04.028869";"-16.443001899999999";"-71.520890800000004";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T09:29:18.487908";"-16.455749999999998";"-71.514468300000004";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster3"
"1.8.19-5";"VP32";"2025-06-29T09:27:27.904";"-16.431507100000001";"-71.542228499999993";"P";"si";2;"1";1;NA;"no";"cluster3"
"1.8.11-15";"VP44";"2025-06-29T09:30:48.482039";"-16.4430683";"-71.520821699999999";"P";"si";8;"4";4;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T09:31:19.935856";"-16.4445084";"-71.507108599999995";"C";NA;NA;NA;NA;"no";"no";"cluster3"
