Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,ParentCode,PetScannerChip,PetScannerSerial,AnswerCode,Organization,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,Accuracy,Especie,estado_vac,edad
Sep,07/09/2025,11:21 AM,07/09/2025,-16.5144067,-71.4904178,V-070925090746-25064-1,,,V-070925112104-25064-41,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:21 AM,07/09/2025,-16.5144978,-71.4902132,V-070925090746-25064-1,,,V-070925112100-25064-40,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:20 AM,07/09/2025,-16.5144978,-71.4902132,V-070925090746-25064-1,,,V-070925112056-25064-39,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:11 AM,07/09/2025,-16.5144504,-71.490471,V-070925090746-25064-1,,,V-070925111132-25064-38,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:11 AM,07/09/2025,-16.5144504,-71.490471,V-070925090746-25064-1,,,V-070925111126-25064-37,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5120883,-71.4873871,V-070925090746-25064-1,,,V-070925110243-25064-36,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,gato,,
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5120901,-71.4873954,V-070925090746-25064-1,,,V-070925110239-25064-35,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,gato,,
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5120901,-71.4873954,V-070925090746-25064-1,,,V-070925110234-25064-34,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5144534,-71.4904714,V-070925090746-25064-1,,,V-070925110231-25064-33,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5144534,-71.4904714,V-070925090746-25064-1,,,V-070925110228-25064-32,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5144534,-71.4904714,V-070925090746-25064-1,,,V-070925110224-25064-31,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,11:02 AM,07/09/2025,-16.5144534,-71.4904714,V-070925090746-25064-1,,,V-070925110219-25064-30,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,10:41 AM,07/09/2025,-16.5094667,-71.4882578,V-070925090746-25064-1,,,V-070925104154-25064-29,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
Sep,07/09/2025,10:41 AM,07/09/2025,-16.5094667,-71.4882578,V-070925090746-25064-1,,,V-070925104145-25064-28,Peru Rabies Control,Arequipa,Characato (MR_21),vac09ch,VANCAN formulario 2025 General,Dog,,No,0.0,perro,revac,1_mayor
