ident;lat;long;y_proj;x_proj
1.5.16-1; ; ;-1.516416327;20763369.87
1.5.16-1;-16.4746502;-71.50106639;-1950415.256;2841327.438
1.5.16-1;-16.4745173;-71.50118871;-1950398.093;2841315.318
1.5.16-1;-16.47453666;-71.50137584;-1950397.996;2841293.852
1.5.16-1;-16.47476751;-71.50333689;-1950400.266;2841068.538
1.5.16-1;-16.47646589;-71.50308685;-1950602.949;2841074.576
1.5.16-1;-16.47702116;-71.50118361;-1950692.298;2841283.01
1.5.16-1;-16.47713333;-71.50075926;-1950710.853;2841329.637
1.5.16-1;-16.47730579;-71.50001425;-1950740.555;2841411.817
1.5.16-1;-16.47676457;-71.49983771;-1950679.213;2841438.937
1.5.16-1;-16.47633904;-71.49927376;-1950636.371;2841508.45
1.5.16-1;-16.47621767;-71.49913592;-1950623.86;2841525.669
1.5.16-1;-16.47604827;-71.49945421;-1950599.926;2841491.816
1.5.16-1;-16.4758833;-71.49972462;-1950577.119;2841463.331
1.5.16-1;-16.47535537;-71.50034003;-1950507.301;2841400.509
1.5.16-1;-16.4749275;-71.50083205;-1950450.801;2841350.358
1.5.16-2; ; ;-1.516416327;20763369.87
1.5.16-2;-16.47748231;-71.49946184;-1950768.294;2841472.113
1.5.16-2;-16.47708094;-71.49930351;-1950723.15;2841495.333
1.5.16-2;-16.47699551;-71.49956444;-1950709.806;2841466.878
1.5.16-2;-16.47690881;-71.49982827;-1950696.278;2841438.112
1.5.16-2;-16.47732766;-71.49996961;-1950743.69;2841416.59
1.5.16-3; ; ;-1.516416327;20763369.87
1.5.16-3;-16.47757196;-71.49913773;-1950782.934;2841507.673
1.5.16-3;-16.47687799;-71.4988825;-1950704.644;2841545.72
1.5.16-3;-16.47680144;-71.49914354;-1950692.342;2841517.136
1.5.16-3;-16.47748203;-71.49941485;-1950768.857;2841477.443
1.5.16-4; ; ;-1.516416327;20763369.87
1.5.16-4;-16.47759171;-71.49908925;-1950785.868;2841512.908
1.5.16-4;-16.47765968;-71.49880919;-1950797.403;2841543.761
1.5.16-4;-16.47700611;-71.49855679;-1950723.824;2841580.956
1.5.16-4;-16.47691977;-71.49883622;-1950710.139;2841550.417
1.5.16-5; ; ;-1.516416327;20763369.87
1.5.16-5;-16.47642615;-71.49898408;-1950650.276;2841540.141
1.5.16-5;-16.47676668;-71.4991225;-1950688.526;2841519.978
1.5.16-5;-16.47684378;-71.49886552;-1950700.841;2841548.094
1.5.16-5;-16.47632377;-71.49866705;-1950642.268;2841577.421
1.5.16-5;-16.47627872;-71.49879693;-1950635.329;2841563.291
1.5.16-6; ; ;-1.516416327;20763369.87
1.5.16-6;-16.47690269;-71.49982474;-1950695.603;2841438.592
1.5.16-6;-16.47692504;-71.49968353;-1950700.019;2841454.306
1.5.16-6;-16.47628128;-71.49883785;-1950635.111;2841558.619
1.5.16-6;-16.47623509;-71.49903611;-1950627.172;2841536.753
1.5.16-6;-16.47640402;-71.49927496;-1950643.99;2841507.461
