ident;lat;long;y_proj;x_proj
1.25.1-1; ; ;-1.516416327;20763369.87
1.25.1-1;-16.43029798;-71.53594092;-1944764.357;2837955.386
1.25.1-1;-16.43042233;-71.53576837;-1944781.14;2837973.321
1.25.1-1;-16.43046329;-71.53574761;-1944786.214;2837975.139
1.25.1-1;-16.43056377;-71.53572283;-1944798.329;2837976.633
1.25.1-1;-16.43076456;-71.53567082;-1944822.569;2837979.905
1.25.1-1;-16.43077676;-71.53548408;-1944826.358;2838000.914
1.25.1-1;-16.43016341;-71.53536318;-1944755.84;2838022.638
1.25.1-1;-16.43007669;-71.53602256;-1944737.334;2837949.024
1.25.1-1;-16.4300841;-71.53635808;-1944733.971;2837910.892
1.25.1-1;-16.43020375;-71.53632543;-1944748.437;2837913.029
1.25.1-1;-16.43026273;-71.53605043;-1944758.835;2837943.433
1.25.1-2; ; ;-1.516416327;20763369.87
1.25.1-2;-16.43088942;-71.53691979;-1944821.476;2837836.688
1.25.1-2;-16.43066948;-71.53680635;-1944797.074;2837852.423
1.25.1-2;-16.43052809;-71.53671559;-1944781.611;2837864.56
1.25.1-2;-16.43046346;-71.53664927;-1944774.857;2837872.924
1.25.1-2;-16.43041119;-71.5365851;-1944769.527;2837880.882
1.25.1-2;-16.43036893;-71.53650924;-1944765.52;2837890.033
1.25.1-2;-16.43033455;-71.53641248;-1944762.702;2837901.451
1.25.1-2;-16.43029773;-71.536273;-1944760.137;2837917.745
1.25.1-2;-16.4302923;-71.53623577;-1944759.97;2837922.036
1.25.1-2;-16.43025494;-71.53621859;-1944755.798;2837924.472
1.25.1-2;-16.43023882;-71.536338;-1944752.398;2837911.147
1.25.1-2;-16.43008433;-71.53637607;-1944733.771;2837908.85
1.25.1-2;-16.43008722;-71.53646267;-1944733.018;2837898.995
1.25.1-2;-16.43013036;-71.53667393;-1944735.421;2837874.483
1.25.1-2;-16.43016421;-71.5367715;-1944738.165;2837862.98
1.25.1-2;-16.43020825;-71.53685951;-1944742.227;2837852.427
1.25.1-2;-16.43026048;-71.53694066;-1944747.338;2837842.546
1.25.1-2;-16.43032869;-71.53701476;-1944754.415;2837833.254
1.25.1-2;-16.4303872;-71.53706799;-1944760.616;2837826.455
1.25.1-2;-16.43049198;-71.53714036;-1944772.01;2837816.881
1.25.1-2;-16.43059261;-71.5372034;-1944783.035;2837808.418
1.25.1-2;-16.43076493;-71.53726176;-1944802.539;2837799.551
1.25.1-3; ; ;-1.516416327;20763369.87
1.25.1-3;-16.43097636;-71.53641794;-1944838.02;2837892.442
1.25.1-3;-16.43062493;-71.5363409;-1944797.714;2837905.77
1.25.1-3;-16.43036827;-71.53628025;-1944768.332;2837916
1.25.1-3;-16.43036236;-71.53637284;-1944766.469;2837905.581
1.25.1-3;-16.43038382;-71.53643809;-1944768.167;2837897.904
1.25.1-3;-16.43043305;-71.53651438;-1944772.986;2837888.613
1.25.1-3;-16.43050098;-71.53660081;-1944779.875;2837877.927
1.25.1-3;-16.4305422;-71.53664981;-1944784.098;2837871.833
1.25.1-3;-16.43063473;-71.53672718;-1944793.99;2837861.853
1.25.1-3;-16.43074966;-71.53680062;-1944806.563;2837852.025
1.25.1-3;-16.43089305;-71.53687401;-1944822.48;2837841.831
1.25.1-4; ; ;-1.516416327;20763369.87
1.25.1-4;-16.43072016;-71.53626244;-1944809.889;2837913.418
1.25.1-4;-16.43072513;-71.5359753;-1944814.096;2837945.904
1.25.1-4;-16.43073849;-71.53573376;-1944818.713;2837973.111
1.25.1-4;-16.43058619;-71.53577141;-1944800.348;2837970.834
1.25.1-4;-16.43050897;-71.53579845;-1944790.937;2837968.778
1.25.1-4;-16.43044753;-71.53582869;-1944783.339;2837966.153
1.25.1-4;-16.43039641;-71.53588336;-1944776.645;2837960.624
1.25.1-4;-16.43035261;-71.53593739;-1944770.818;2837955.072
1.25.1-4;-16.43032365;-71.53598645;-1944766.797;2837949.889
1.25.1-4;-16.43027674;-71.5361561;-1944759.147;2837931.271
1.25.1-5; ; ;-1.516416327;20763369.87
1.25.1-5;-16.43149554;-71.53645465;-1944898.538;2837881.493
1.25.1-5;-16.43177266;-71.53654363;-1944929.965;2837867.782
1.25.1-5;-16.43176022;-71.53631995;-1944931.327;2837893.302
1.25.1-5;-16.43170534;-71.53616774;-1944926.802;2837911.274
1.25.1-5;-16.43167233;-71.53607622;-1944924.079;2837922.08
1.25.1-5;-16.43164847;-71.53599179;-1944922.342;2837931.963
1.25.1-5;-16.43164877;-71.53590652;-1944923.453;2837941.626
1.25.1-5;-16.43166925;-71.53579501;-1944927.266;2837953.998
1.25.1-5;-16.43168242;-71.5356547;-1944930.583;2837969.732
1.25.1-5;-16.43104935;-71.53554691;-1944857.584;2837990.227
1.25.1-5;-16.43090144;-71.53550247;-1944840.771;2837997.199
1.25.1-5;-16.43079971;-71.53548104;-1944829.093;2838000.959
1.25.1-5;-16.43078316;-71.53597016;-1944820.977;2837945.728
1.25.1-5;-16.43104214;-71.53594417;-1944851.724;2837945.288
1.25.1-5;-16.43112995;-71.53595403;-1944861.913;2837943.023
1.25.1-5;-16.43113495;-71.53581401;-1944864.268;2837958.83
1.25.1-5;-16.43133269;-71.53582944;-1944887.299;2837954.496
1.25.1-5;-16.43131814;-71.53590166;-1944884.68;2837946.499
1.25.1-5;-16.4313754;-71.53592114;-1944891.159;2837943.542
1.25.1-5;-16.43135528;-71.53597778;-1944888.081;2837937.384
1.25.1-5;-16.4312216;-71.53596707;-1944872.514;2837940.346
1.25.1-5;-16.43115467;-71.5359971;-1944864.273;2837937.817
1.25.1-5;-16.43104903;-71.53599581;-1944851.881;2837939.345
1.25.1-5;-16.43092723;-71.53599118;-1944837.634;2837941.462
1.25.1-5;-16.43077637;-71.53600792;-1944819.702;2837941.537
1.25.1-5;-16.43076923;-71.536263;-1944815.645;2837912.714
1.25.1-6; ; ;-1.516416327;20763369.87
1.25.1-6;-16.4311553;-71.53700426;-1944851.64;2837823.638
1.25.1-6;-16.43124782;-71.53678255;-1944865.304;2837847.56
1.25.1-6;-16.43129109;-71.53666451;-1944871.876;2837860.376
1.25.1-6;-16.4313423;-71.53652767;-1944879.618;2837875.218
1.25.1-6;-16.43120076;-71.53646716;-1944863.757;2837883.929
1.25.1-6;-16.43101108;-71.53641312;-1944842.158;2837892.534
1.25.1-6;-16.43092108;-71.53689599;-1944825.494;2837838.972
1.25.1-7; ; ;-1.516416327;20763369.87
1.25.1-7;-16.43173896;-71.53664977;-1944924.668;2837856.191
1.25.1-7;-16.43137002;-71.53652782;-1944882.872;2837874.839
1.25.1-7;-16.43133704;-71.53662707;-1944877.746;2837864.019
1.25.1-7;-16.43128936;-71.53678699;-1944870.127;2837846.514
1.25.1-7;-16.43118463;-71.53701646;-1944854.931;2837821.871
1.25.1-7;-16.43152595;-71.53717647;-1944893.003;2837799.27
1.25.1-8; ; ;-1.516416327;20763369.87
1.25.1-8;-16.43100587;-71.53726768;-1944830.764;2837795.73
