"block_id","user_std","date_clean","lat","long","type_house_std","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep"
"1.16.4-45","VP02",2024-12-14 08:17:30.425864,"-16.524858399999999","-71.483503799999994","DOG_ANOTHER_AREA",NA,2,0,1
"1.5.7-5","VP04",2024-12-14 08:18:57.869939,"-16.4691191","-71.483521600000003","P","si",1,1,0
"1.5.7-5","VP04",2024-12-14 08:19:12.769013,"-16.4691078","-71.483515999999995","P","si",2,2,0
"1.5.7-22","VP04",2024-12-14 08:19:25.219518,"-16.469093600000001","-71.4835116","C",NA,0,0,0
"1.5.7-22","VP04",2024-12-14 08:19:36.536417,"-16.469082700000001","-71.483508799999996","C",NA,0,0,0
"1.16.15-6","VP03",2024-12-14 08:20:34.394808,"-16.531582","-71.482538300000002","P","si",2,2,2
"1.5.7-22","VP04",2024-12-14 08:20:40.102596,"-16.4690789","-71.483474099999995","C",NA,0,0,0
"1.5.7-22","VP04",2024-12-14 08:21:10.535283,"-16.469105599999999","-71.483311999999998","R",NA,0,0,0
"1.5.7-22","VP04",2024-12-14 08:21:51.885901,"-16.469095100000001","-71.483103400000005","P","si",2,2,0
"1.5.7-5","VP04",2024-12-14 08:22:09.318749,"-16.4691258","-71.483100100000001","C",NA,0,0,0
"1.5.7-22","VP04",2024-12-14 08:26:21.115564,"-16.469162399999998","-71.482974499999997","P","si",1,0,1
"1.16.4-90","VP02",2024-12-14 08:26:33.935968,"-16.525196699999999","-71.483110100000005","P","no",0,0,0
"1.16.4-90","VP02",2024-12-14 08:26:51.887024,"-16.525217999999999","-71.483116199999998","C",NA,0,0,0
"1.16.4-90","VP02",2024-12-14 08:26:58.935527,"-16.5252254","-71.483129399999996","P","no",0,0,0
"1.5.7-5","VP04",2024-12-14 08:27:08.206558,"-16.469144799999999","-71.482968499999998","P","si",2,0,0
"1.16.13-13","VP03",2024-12-14 08:27:57.580486,"-16.5311685","-71.482953699999996","P","si",1,1,1
"1.5.7-9","VP06",2024-12-14 08:28:42.574891,"-16.470690000000001","-71.484814999999998","LP",NA,0,0,0
"1.5.7-7","VP06",2024-12-14 08:28:52.21431,"-16.470705899999999","-71.484804199999999","LP",NA,0,0,0
"1.5.7-8","VP06",2024-12-14 08:29:12.304466,"-16.470711699999999","-71.484783300000004","P","si",1,1,0
"1.16.4-90","VP02",2024-12-14 08:29:21.81146,"-16.524975000000001","-71.482592100000005","P","si",1,0,1
"1.5.7-8","VP06",2024-12-14 08:29:42.797936,"-16.470711699999999","-71.484783300000004","C",NA,0,0,0
"1.5.7-11","VP06",2024-12-14 08:29:51.570977,"-16.470662099999998","-71.484811100000002","LV",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 08:30:07.750593,"-16.470674500000001","-71.4847587","P","si",2,2,0
"1.5.7-10","VP06",2024-12-14 08:30:32.817216,"-16.4706589","-71.484588200000005","C",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 08:30:51.690885,"-16.470634","-71.484523899999999","C",NA,0,0,0
"1.5.7-10","VP06",2024-12-14 08:31:05.190102,"-16.4706315","-71.484475099999997","C",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 08:31:17.969377,"-16.4706501","-71.484429500000005","P","no",0,0,0
"1.5.7-23","VP04",2024-12-14 08:31:37.752344,"-16.4691437","-71.482731900000005","C",NA,0,0,0
"1.5.7-23","VP04",2024-12-14 08:31:41.834538,"-16.4691437","-71.482731900000005","C",NA,0,0,0
"1.5.7-4","VP04",2024-12-14 08:31:49.66792,"-16.469087099999999","-71.482668099999998","LV",NA,0,0,0
"1.5.7-4","VP04",2024-12-14 08:31:53.750613,"-16.469110400000002","-71.482674399999993","LV",NA,0,0,0
"1.5.5-10","VP06",2024-12-14 08:31:53.974149,"-16.470704300000001","-71.484344699999994","LP",NA,0,0,0
"1.12.1-55","VP01",2024-12-14 08:32:13.468017,"-16.501985900000001","-71.496408900000006","P","si",3,2,2
"1.5.7-9","VP06",2024-12-14 08:32:37.387606,"-16.470826200000001","-71.484355500000007","LP",NA,0,0,0
"1.5.7-23","VP04",2024-12-14 08:32:50.132513,"-16.4690969","-71.482592199999999","P","no",0,0,0
"1.5.5-5","VP06",2024-12-14 08:32:51.706609,"-16.470875800000002","-71.484354100000004","C",NA,0,0,0
"1.5.7-23","VP04",2024-12-14 08:32:55.91743,"-16.469092","-71.482602999999997","C",NA,0,0,0
"1.5.7-4","VP04",2024-12-14 08:33:00.066614,"-16.469097600000001","-71.482589599999997","C",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 08:33:52.492531,"-16.470991900000001","-71.484365499999996","P","si",3,3,0
"1.5.7-4","VP04",2024-12-14 08:33:54.905881,"-16.4691656","-71.482321400000004","P","no",0,0,0
"1.16.4-90","VP02",2024-12-14 08:34:50.207637,"-16.525527199999999","-71.482893599999997","P","no",0,0,0
"1.16.4-90","VP02",2024-12-14 08:35:00.839459,"-16.525651700000001","-71.482949500000004","C",NA,0,0,0
"1.5.7-9","VP06",2024-12-14 08:35:01.753966,"-16.4709915","-71.4843549","C",NA,0,0,0
"1.16.4-90","VP02",2024-12-14 08:35:06.790779,"-16.5256474","-71.482949399999995","C",NA,0,0,0
"1.16.4-90","VP02",2024-12-14 08:35:17.075117,"-16.525641499999999","-71.482943000000006","C",NA,0,0,0
