"DATE";"CLUSTER"
"2024-12-01T08:12:52.611025";"cluster19"
"2024-12-01T08:13:18.823388";"cluster19"
"2024-12-01T08:17:32.509111";"cluster19"
"2024-12-01T08:18:16.655981";"cluster19"
"2024-12-01T08:19:06.439832";"cluster19"
"2024-12-01T08:19:08.063790";"cluster19"
"2024-12-01T08:19:52.438663";"cluster19"
"2024-12-01T08:20:02.861523";"cluster19"
"2024-12-01T08:20:17.939744";"cluster19"
"2024-12-01T08:20:19.640604";"cluster19"
"2024-12-01T08:20:31.342685";"cluster19"
"2024-12-01T08:20:41.399445";"cluster19"
"2024-12-01T08:21:07.419656";"cluster19"
"2024-12-01T08:21:50.490528";"cluster19"
"2024-12-01T08:21:51.267886";"cluster19"
"2024-12-01T08:22:15.708101";"cluster19"
"2024-12-01T08:22:41.101272";"cluster19"
"2024-12-01T08:22:51.423039";"cluster19"
"2024-12-01T08:22:57.500962";"cluster19"
"2024-12-01T08:23:20.508026";"cluster19"
"2024-12-01T08:23:24.263304";"cluster19"
"2024-12-01T08:23:06.533517";"cluster19"
"2024-12-01T08:23:48.458027";"cluster19"
"2024-12-01T08:23:59.084737";"cluster19"
"2024-12-01T08:24:10.301537";"cluster19"
"2024-12-01T08:24:34.417898";"cluster19"
"2024-12-01T08:24:54.274993";"cluster19"
"2024-12-01T08:25:09.749166";"cluster19"
"2024-12-01T08:25:20.389782";"cluster19"
"2024-12-01T08:25:17.184358";"cluster19"
"2024-12-01T08:25:16.636080";"cluster19"
"2024-12-01T08:25:30.893389";"cluster19"
"2024-12-01T08:25:37.486362";"cluster19"
"2024-12-01T08:25:54.286088";"cluster19"
"2024-12-01T08:26:18.003148";"cluster19"
"2024-12-01T08:25:25.891622";"cluster19"
"2024-12-01T08:26:59.945533";"cluster19"
"2024-12-01T08:27:21.202355";"cluster19"
"2024-12-01T08:27:34.863814";"cluster19"
"2024-12-01T08:28:35.429004";"cluster19"
"2024-12-01T08:28:41.818779";"cluster19"
"2024-12-01T08:28:58.952170";"cluster19"
"2024-12-01T08:29:13.136012";"cluster19"
"2024-12-01T08:29:21.033628";"cluster19"
"2024-12-01T08:29:28.837679";"cluster19"
"2024-12-01T08:29:36.713069";"cluster19"
"2024-12-01T08:26:39.024578";"cluster19"
"2024-12-01T08:30:22.437996";"cluster19"
"2024-12-01T08:32:21.135945";"cluster19"
"2024-12-01T08:32:44.035684";"cluster19"
"2024-12-01T08:32:55.168505";"cluster19"
"2024-12-01T08:33:12.392128";"cluster19"
"2024-12-01T08:33:29.745007";"cluster19"
"2024-12-01T08:33:54.646197";"cluster19"
"2024-12-01T08:34:50.895195";"cluster19"
"2024-12-01T08:35:01.928236";"cluster19"
"2024-12-01T08:35:21.937672";"cluster19"
"2024-12-01T08:35:26.930061";"cluster19"
"2024-12-01T08:35:33.866471";"cluster19"
"2024-12-01T08:35:38.771561";"cluster19"
"2024-12-01T08:35:54.419414";"cluster19"
"2024-12-01T08:36:12.053879";"cluster19"
"2024-12-01T08:36:31.503816";"cluster19"
"2024-12-01T08:35:59.103163";"cluster19"
"2024-12-01T08:37:11.171010";"cluster19"
"2024-12-01T08:38:18.563398";"cluster19"
"2024-12-01T08:38:30.500935";"cluster19"
"2024-12-01T08:38:27.742022";"cluster19"
"2024-12-01T08:38:34.867594";"cluster19"
"2024-12-01T08:38:44.683167";"cluster19"
"2024-12-01T08:38:52.879854";"cluster19"
"2024-12-01T08:39:33.919015";"cluster19"
"2024-12-01T08:39:43.094250";"cluster19"
"2024-12-01T08:40:06.036996";"cluster19"
"2024-12-01T08:40:01.761308";"cluster19"
"2024-12-01T08:40:03.752426";"cluster19"
"2024-12-01T08:40:48.386101";"cluster19"
"2024-12-01T08:40:56.334581";"cluster19"
"2024-12-01T08:41:27.879338";"cluster19"
"2024-12-01T08:41:29.002349";"cluster19"
"2024-12-01T08:41:58.469422";"cluster19"
"2024-12-01T08:42:30.834053";"cluster19"
"2024-12-01T08:42:41.369230";"cluster19"
"2024-12-01T08:42:51.681857";"cluster19"
"2024-12-01T08:43:04.392562";"cluster19"
"2024-12-01T08:43:11.578211";"cluster19"
"2024-12-01T08:43:14.624685";"cluster19"
"2024-12-01T08:43:51.923935";"cluster19"
"2024-12-01T08:44:37.275636";"cluster19"
"2024-12-01T08:44:37.558944";"cluster19"
"2024-12-01T08:44:56.255558";"cluster19"
"2024-12-01T08:45:01.822484";"cluster19"
"2024-12-01T08:45:33.600566";"cluster19"
"2024-12-01T08:46:39.316405";"cluster19"
"2024-12-01T08:46:54.910130";"cluster19"
