"ident","lat","long","new_seg","display","color","altitude","depth","temp","time","model","filename","ltime"
"pa3"," "," "," "," "," "," "," "," "," "," "," "," "
"pa3",-16.3771206106,-71.5230927214,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.3773207071,-71.5233717595,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.3783274829,-71.5240559405,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.3788523178,-71.5229712002,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.3779442112,-71.5223831388,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.3777325878,-71.5226383467,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.377419885,-71.5222835253,"False"," "," ",0," "," "," "," "," "," "
"pa3",-16.3768601522,-71.5227717979,"False"," "," ",0," "," "," "," "," "," "
"pa10"," "," "," "," "," "," "," "," "," "," "," "," "
"pa10",-16.3785848664,-71.5317488683,"False"," "," ",0," "," "," "," "," "," "
"pa10",-16.3793829158,-71.5297071024,"False"," "," ",0," "," "," "," "," "," "
"pa10",-16.3779727336,-71.529910366,"False"," "," ",0," "," "," "," "," "," "
"pa10",-16.3782561173,-71.531715541,"False"," "," ",0," "," "," "," "," "," "
"pa12"," "," "," "," "," "," "," "," "," "," "," "," "
"pa12",-16.3776397947,-71.528599128,"False"," "," ",0," "," "," "," "," "," "
"pa12",-16.3779692338,-71.5290533863,"False"," "," ",0," "," "," "," "," "," "
"pa12",-16.378164602,-71.5290459141,"False"," "," ",0," "," "," "," "," "," "
"pa12",-16.3783582637,-71.5294187305,"False"," "," ",0," "," "," "," "," "," "
"pa12",-16.3793211023,-71.5292563633,"False"," "," ",0," "," "," "," "," "," "
"pa12",-16.3782482648,-71.5280016229,"False"," "," ",0," "," "," "," "," "," "
"pa16"," "," "," "," "," "," "," "," "," "," "," "," "
"pa16",-16.3752484248,-71.5259700071,"False"," "," ",0," "," "," "," "," "," "
"pa16",-16.3748093528,-71.5250127635,"False"," "," ",0," "," "," "," "," "," "
"pa16",-16.3744764658,-71.5251991775,"False"," "," ",0," "," "," "," "," "," "
"pa16",-16.375409187,-71.5270465284,"False"," "," ",0," "," "," "," "," "," "
"pa16",-16.3760859043,-71.5267389967,"False"," "," ",0," "," "," "," "," "," "
"pa16",-16.3766954951,-71.5261302741,"False"," "," ",0," "," "," "," "," "," "
"pa16",-16.3762562588,-71.5253738998,"False"," "," ",0," "," "," "," "," "," "
"pa20"," "," "," "," "," "," "," "," "," "," "," "," "
"pa20",-16.3746361937,-71.516458131,"False"," "," ",0," "," "," "," "," "," "
"pa20",-16.3735828452,-71.5150537094,"False"," "," ",0," "," "," "," "," "," "
"pa20",-16.3725983258,-71.5157265313,"False"," "," ",0," "," "," "," "," "," "
"pa20",-16.3737407422,-71.5172303665,"False"," "," ",0," "," "," "," "," "," "
"pa21"," "," "," "," "," "," "," "," "," "," "," "," "
"pa21",-16.3718167461,-71.5107733008,"False"," "," ",0," "," "," "," "," "," "
"pa21",-16.3702890886,-71.5119610317,"False"," "," ",0," "," "," "," "," "," "
"pa21",-16.3709179301,-71.5127776675,"False"," "," ",0," "," "," "," "," "," "
"pa21",-16.371413394,-71.5124104392,"False"," "," ",0," "," "," "," "," "," "
"pa21",-16.3717659794,-71.5129246741,"False"," "," ",0," "," "," "," "," "," "
"pa21",-16.3728094428,-71.5121165463,"False"," "," ",0," "," "," "," "," "," "
"pa23"," "," "," "," "," "," "," "," "," "," "," "," "
"pa23",-16.3718080868,-71.5107355038,"False"," "," ",0," "," "," "," "," "," "
"pa23",-16.3712435031,-71.5099635378,"False"," "," ",0," "," "," "," "," "," "
"pa23",-16.3697352263,-71.5111962154,"False"," "," ",0," "," "," "," "," "," "
"pa23",-16.3698976008,-71.5114220604,"False"," "," ",0," "," "," "," "," "," "
"pa23",-16.3693813644,-71.5118335166,"False"," "," ",0," "," "," "," "," "," "
"pa23",-16.3697758792,-71.5122951389,"False"," "," ",0," "," "," "," "," "," "
"pa28"," "," "," "," "," "," "," "," "," "," "," "," "
"pa28",-16.3737862465,-71.5085983427,"False"," "," ",0," "," "," "," "," "," "
"pa28",-16.3733307416,-71.5089799008,"False"," "," ",0," "," "," "," "," "," "
"pa28",-16.3742621414,-71.5102081298,"False"," "," ",0," "," "," "," "," "," "
"pa28",-16.3734638974,-71.5108637207,"False"," "," ",0," "," "," "," "," "," "
"pa28",-16.3738322184,-71.5113478716,"False"," "," ",0," "," "," "," "," "," "
"pa28",-16.3751085604,-71.5103827234,"False"," "," ",0," "," "," "," "," "," "
"pa29"," "," "," "," "," "," "," "," "," "," "," "," "
"pa29",-16.3729000364,-71.5074363341,"False"," "," ",0," "," "," "," "," "," "
"pa29",-16.3722202336,-71.50669486,"False"," "," ",0," "," "," "," "," "," "
"pa29",-16.3718489745,-71.5069583469,"False"," "," ",0," "," "," "," "," "," "
"pa29",-16.3733146148,-71.5089415574,"False"," "," ",0," "," "," "," "," "," "
"pa29",-16.3737740143,-71.5085879527,"False"," "," ",0," "," "," "," "," "," "
"pa44"," "," "," "," "," "," "," "," "," "," "," "," "
"pa44",-16.3642244269,-71.513979164,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3628445092,-71.513961582,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3626167093,-71.5136908615,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3621174952,-71.5137104249,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3624906593,-71.51439773,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3627288144,-71.5148107323,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.36297287,-71.5158226859,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3645209792,-71.5155050045,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3644113514,-71.5148658631,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.364864785,-71.5147392566,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3653975082,-71.5143434905,"False"," "," ",0," "," "," "," "," "," "
"pa44",-16.3653865468,-71.51399218,"False"," "," ",0," "," "," "," "," "," "
"pa45"," "," "," "," "," "," "," "," "," "," "," "," "
"pa45",-16.3714303387,-71.5256642949,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3713646132,-71.5256249278,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3709008702,-71.5261315202,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3712141117,-71.5265120893,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.371984913,-71.5270346142,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3728910303,-71.5276754924,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3726325176,-71.5281693965,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3730650668,-71.5284143256,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3732905276,-71.5283643201,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3736817566,-71.5277474181,"False"," "," ",0," "," "," "," "," "," "
